type,price,label
VPOC,7589.50,VPOC
VAH,7591.50,VA high
VAL,7581.25,VA low
BIAS,7589.50,bias HVN
HVN,7582.00,
HVN,7586.00,
HVN,7587.25,
HVN,7589.50,
HVN,7610.50,
LVN,7583.00,
LVN,7586.75,
LVN,7588.75,
LVN,7603.00,
NVP,7756.50,2026-09-03
NVP,7721.25,2026-09-04
NVP,7696.25,2026-09-08
NVP,7669.00,2026-09-11
NVP,7625.50,2026-09-14
