day,n,realized,worst_hold_to_exp,if_crash,if_moon
2026-08-04,8,-1334.0,-6310.0,-1310.0,-6310.0
2026-08-05,9,-600.0,-6180.0,-6180.0,-3680.0
2026-08-06,10,-386.0,-8425.0,-8425.0,-8425.0
2026-08-07,8,1367.0,-5625.0,-5625.0,-5625.0
2026-08-10,8,284.0,-8960.0,-8960.0,-3960.0
2026-08-11,9,970.0,-8590.0,-8590.0,-6090.0
2026-08-12,9,1231.0,-8470.0,-5970.0,-8470.0
2026-08-13,9,125.0,-7175.0,-7175.0,-4675.0
2026-08-14,8,434.0,-5805.0,-5805.0,-5805.0
2026-08-17,7,1031.0,-9000.0,-9000.0,-1500.0
2026-08-18,8,1168.0,-7035.0,-7035.0,465.0
2026-08-19,9,2026.0,-5570.0,-5570.0,-5570.0
2026-08-20,9,452.0,-7440.0,-7440.0,-4940.0
2026-08-21,10,748.0,-8100.0,-8100.0,-8100.0
2026-08-24,7,-499.0,-8915.0,-8915.0,-1415.0
2026-08-25,8,254.0,-5330.0,-2830.0,-5330.0
2026-08-26,6,-425.0,-4305.0,-4305.0,-4305.0
2026-08-27,8,498.0,-5755.0,-5755.0,-5755.0
2026-08-28,10,-1344.0,-7495.0,-7495.0,-7495.0
2026-08-31,9,301.0,-7630.0,-7630.0,-5130.0
2026-09-01,8,254.0,-6365.0,-6365.0,-1365.0
2026-09-02,8,592.0,-6640.0,-6640.0,-6640.0
2026-09-03,9,-1407.0,-6435.0,-3935.0,-6435.0
2026-09-04,10,1567.0,-8790.0,-8790.0,-8790.0
