ts,localSymbol,commission,currency
2026-08-24 08:30:57,XSP   260824P00757000,1.22028,USD
2026-08-24 08:30:57,XSP   260824P00760000,1.22028,USD
2026-08-24 08:32:13,XSP   260824P00768000,1.22028,USD
2026-08-24 08:32:13,XSP   260824P00765000,1.22028,USD
2026-08-24 08:33:47,XSP   260824P00758000,1.22028,USD
2026-08-24 08:33:47,XSP   260824P00756000,1.22028,USD
2026-08-24 08:34:30,XSP   260824P00766000,1.22028,USD
2026-08-24 08:34:30,XSP   260824P00764000,1.22028,USD
2026-08-24 08:34:49,XSP   260824C00769000,1.22028,USD
2026-08-24 08:34:49,XSP   260824C00766000,1.22028,USD
2026-08-24 08:35:37,XSP   260824P00763000,1.22028,USD
2026-08-24 08:35:37,XSP   260824P00760000,1.22028,USD
2026-08-24 08:35:50,XSP   260824C00768000,1.22028,USD
2026-08-24 08:35:50,XSP   260824C00770000,1.22028,USD
2026-08-24 08:45:42,XSP   260824P00768000,1.22028,USD
2026-08-24 08:45:42,XSP   260824P00765000,1.22028,USD
2026-08-24 08:46:33,XSP   260824P00766000,1.22028,USD
2026-08-24 08:46:33,XSP   260824P00764000,1.22028,USD
2026-08-24 11:27:14,XSP   260824C00769000,1.22028,USD
2026-08-24 11:27:14,XSP   260824C00766000,1.22028,USD
2026-08-25 08:43:01,XSP   260825C00776000,1.22028,USD
2026-08-25 08:43:01,XSP   260825C00773000,1.22028,USD
2026-08-25 08:44:09,XSP   260825C00768000,1.22028,USD
2026-08-25 08:44:09,XSP   260825C00766000,1.22028,USD
2026-08-25 08:44:52,XSP   260825P00766000,1.22028,USD
2026-08-25 08:44:52,XSP   260825P00763000,1.22028,USD
2026-08-25 08:53:50,XSP   260825C00768000,1.22028,USD
2026-08-25 08:53:50,XSP   260825C00766000,1.22028,USD
2026-08-25 09:07:34,XSP   260825P00767000,1.22028,USD
2026-08-25 09:07:34,XSP   260825P00764000,1.22028,USD
2026-08-25 09:08:48,XSP   260825C00767000,1.22028,USD
2026-08-25 09:08:48,XSP   260825C00770000,1.22028,USD
2026-08-25 09:09:08,XSP   260825P00762000,1.22028,USD
2026-08-25 09:09:08,XSP   260825P00765000,1.22028,USD
2026-08-25 09:09:30,XSP   260825C00769000,1.22028,USD
2026-08-25 09:09:30,XSP   260825C00766000,1.22028,USD
2026-08-25 09:19:40,XSP   260825C00769000,1.22028,USD
2026-08-25 09:19:40,XSP   260825C00766000,1.22028,USD
2026-08-25 09:33:05,XSP   260825P00767000,1.22028,USD
2026-08-25 09:33:05,XSP   260825P00764000,1.22028,USD
2026-08-25 11:05:48,XSP   260825C00767000,1.22028,USD
2026-08-25 11:05:48,XSP   260825C00770000,1.22028,USD
2026-08-26 08:31:44,XSP   260826P00758000,1.22028,USD
2026-08-26 08:31:44,XSP   260826P00760000,1.22028,USD
2026-08-26 08:34:19,XSP   260826C00768000,1.22028,USD
2026-08-26 08:34:19,XSP   260826C00770000,1.22028,USD
2026-08-26 08:35:35,XSP   260826P00768000,1.22028,USD
2026-08-26 08:35:35,XSP   260826P00765000,1.22028,USD
2026-08-26 09:02:51,XSP   260826C00768000,1.22028,USD
2026-08-26 09:02:51,XSP   260826C00770000,1.22028,USD
2026-08-26 09:06:17,XSP   260826P00768000,1.22028,USD
2026-08-26 09:06:17,XSP   260826P00766000,1.22028,USD
2026-08-26 09:07:31,XSP   260826C00772000,1.22028,USD
2026-08-26 09:07:31,XSP   260826C00770000,1.22028,USD
2026-08-26 09:08:24,XSP   260826C00771000,1.22028,USD
2026-08-26 09:08:24,XSP   260826C00768000,1.22028,USD
2026-08-26 09:20:32,XSP   260826P00768000,1.22028,USD
2026-08-26 09:20:32,XSP   260826P00766000,1.22028,USD
2026-08-26 09:33:35,XSP   260826P00768000,1.22028,USD
2026-08-26 09:33:35,XSP   260826P00765000,1.22028,USD
2026-08-26 14:12:08,XSP   260826C00771000,1.22028,USD
2026-08-26 14:12:08,XSP   260826C00768000,1.22028,USD
2026-08-27 08:33:52,XSP   260827C00778000,1.22028,USD
2026-08-27 08:33:52,XSP   260827C00775000,1.22028,USD
2026-08-27 08:35:41,XSP   260827C00768000,1.22028,USD
2026-08-27 08:35:41,XSP   260827C00770000,1.22028,USD
2026-08-27 08:38:04,XSP   260827P00768000,1.22028,USD
2026-08-27 08:38:04,XSP   260827P00765000,1.22028,USD
