date,symbol,right,strike,qty,side,price,order_time,fill_time,latency_s,underlying
20260806,SPXW  260806C07725000,C,7725.0,1,BUY,22.0,09:54:11,09:54:11,0.0,SPX
20260806,SPXW  260806C07725000,C,7725.0,-1,SELL,19.4,09:43:57,09:44:00,3.0,SPX
20260806,SPXW  260806C07735000,C,7735.0,1,BUY,16.7,10:17:29,10:17:31,2.0,SPX
20260806,SPXW  260806C07735000,C,7735.0,-1,SELL,13.7,10:06:17,10:06:31,14.0,SPX
20260806,SPXW  260806C07735000,C,7735.0,-1,SELL,14.1,10:06:33,10:06:33,0.0,SPX
20260806,SPXW  260806C07750000,C,7750.0,1,BUY,7.8,09:43:57,09:44:00,3.0,SPX
20260806,SPXW  260806C07750000,C,7750.0,-1,SELL,9.2,09:54:11,09:54:11,0.0,SPX
20260806,SPXW  260806C07760000,C,7760.0,1,BUY,4.7,10:06:17,10:06:31,14.0,SPX
20260806,SPXW  260806C07760000,C,7760.0,1,BUY,4.9,10:06:33,10:06:33,0.0,SPX
20260806,SPXW  260806C07760000,C,7760.0,-1,SELL,5.7,10:17:29,10:17:31,2.0,SPX
20260806,SPXW  260806C07800000,C,7800.0,-1,SELL,0.75,09:43:15,09:43:15,0.0,SPX
20260806,SPXW  260806C07800000,C,7800.0,-1,SELL,0.85,10:07:14,10:07:17,3.0,SPX
20260806,SPXW  260806C07815000,C,7815.0,-1,SELL,0.4,10:05:36,10:05:37,1.0,SPX
20260806,SPXW  260806C07825000,C,7825.0,1,BUY,0.35,09:43:15,09:43:15,0.0,SPX
20260806,SPXW  260806C07825000,C,7825.0,1,BUY,0.4,10:07:14,10:07:17,3.0,SPX
20260806,SPXW  260806C07840000,C,7840.0,1,BUY,0.25,10:05:36,10:05:37,1.0,SPX
20260806,SPXW  260806P07620000,P,7620.0,1,BUY,0.8,09:42:39,09:42:42,3.0,SPX
20260806,SPXW  260806P07635000,P,7635.0,1,BUY,0.6,10:05:15,10:05:16,1.0,SPX
20260806,SPXW  260806P07645000,P,7645.0,-1,SELL,1.45,09:42:39,09:42:42,3.0,SPX
20260806,SPXW  260806P07660000,P,7660.0,-1,SELL,1.15,10:05:15,10:05:16,1.0,SPX
20260806,SPXW  260806P07675000,P,7675.0,1,BUY,1.85,10:06:54,10:06:57,3.0,SPX
20260806,SPXW  260806P07700000,P,7700.0,1,BUY,6.5,09:43:36,09:43:43,7.0,SPX
20260806,SPXW  260806P07700000,P,7700.0,-1,SELL,4.2,10:06:54,10:06:57,3.0,SPX
20260806,SPXW  260806P07700000,P,7700.0,-1,SELL,7.1,11:24:59,11:25:02,3.0,SPX
20260806,SPXW  260806P07700000,P,7700.0,-1,SELL,7.9,11:25:15,11:25:22,7.0,SPX
20260806,SPXW  260806P07710000,P,7710.0,1,BUY,6.6,10:05:56,10:05:58,2.0,SPX
20260806,SPXW  260806P07710000,P,7710.0,-1,SELL,5.6,10:35:44,10:35:44,0.0,SPX
20260806,SPXW  260806P07725000,P,7725.0,1,BUY,18.3,11:24:59,11:25:02,3.0,SPX
20260806,SPXW  260806P07725000,P,7725.0,1,BUY,19.7,11:25:15,11:25:22,7.0,SPX
20260806,SPXW  260806P07725000,P,7725.0,-1,SELL,13.6,09:43:36,09:43:43,7.0,SPX
20260806,SPXW  260806P07735000,P,7735.0,1,BUY,14.4,10:35:44,10:35:44,0.0,SPX
20260806,SPXW  260806P07735000,P,7735.0,-1,SELL,15.0,10:05:56,10:05:58,2.0,SPX
20260807,SPXW  260807C07710000,C,7710.0,1,BUY,35.0,09:43:25,09:43:27,2.0,SPX
20260807,SPXW  260807C07710000,C,7710.0,-1,SELL,33.2,09:31:30,09:31:35,5.0,SPX
20260807,SPXW  260807C07730000,C,7730.0,1,BUY,21.1,09:43:40,09:43:40,0.0,SPX
20260807,SPXW  260807C07730000,C,7730.0,-1,SELL,22.4,09:33:10,09:33:13,3.0,SPX
20260807,SPXW  260807C07735000,C,7735.0,1,BUY,17.7,09:31:30,09:31:35,5.0,SPX
20260807,SPXW  260807C07735000,C,7735.0,-1,SELL,17.6,09:43:25,09:43:27,2.0,SPX
20260807,SPXW  260807C07755000,C,7755.0,1,BUY,10.1,09:33:10,09:33:13,3.0,SPX
20260807,SPXW  260807C07755000,C,7755.0,-1,SELL,8.6,09:43:40,09:43:40,0.0,SPX
20260807,SPXW  260807C07785000,C,7785.0,-1,SELL,2.55,09:30:48,09:30:48,0.0,SPX
20260807,SPXW  260807C07805000,C,7805.0,-1,SELL,1.1,09:32:28,09:32:32,4.0,SPX
20260807,SPXW  260807C07810000,C,7810.0,1,BUY,0.95,09:30:48,09:30:48,0.0,SPX
20260807,SPXW  260807C07830000,C,7830.0,1,BUY,0.5,09:32:28,09:32:32,4.0,SPX
20260807,SPXW  260807P07610000,P,7610.0,1,BUY,0.65,09:30:26,09:30:31,5.0,SPX
20260807,SPXW  260807P07630000,P,7630.0,1,BUY,0.8,09:31:51,09:31:57,6.0,SPX
20260807,SPXW  260807P07635000,P,7635.0,-1,SELL,1.1,09:30:26,09:30:31,5.0,SPX
20260807,SPXW  260807P07655000,P,7655.0,-1,SELL,1.5,09:31:51,09:31:57,6.0,SPX
20260807,SPXW  260807P07685000,P,7685.0,1,BUY,4.7,09:31:09,09:31:10,1.0,SPX
20260807,SPXW  260807P07705000,P,7705.0,1,BUY,7.2,09:32:50,09:32:53,3.0,SPX
20260807,SPXW  260807P07710000,P,7710.0,-1,SELL,9.7,09:31:09,09:31:10,1.0,SPX
20260807,SPXW  260807P07730000,P,7730.0,-1,SELL,15.1,09:32:50,09:32:53,3.0,SPX
20260810,SPXW  260810C07760000,C,7760.0,1,BUY,12.8,10:16:57,10:16:57,0.0,SPX
20260810,SPXW  260810C07760000,C,7760.0,1,BUY,12.4,10:17:12,10:17:12,0.0,SPX
20260810,SPXW  260810C07760000,C,7760.0,-1,SELL,10.0,10:01:51,10:01:52,1.0,SPX
20260810,SPXW  260810C07760000,C,7760.0,-1,SELL,10.0,10:03:00,10:03:00,0.0,SPX
20260810,SPXW  260810C07775000,C,7775.0,-1,SELL,3.9,10:03:43,10:03:43,0.0,SPX
20260810,SPXW  260810C07785000,C,7785.0,1,BUY,2.1,10:01:51,10:01:52,1.0,SPX
20260810,SPXW  260810C07785000,C,7785.0,1,BUY,2.1,10:03:00,10:03:00,0.0,SPX
20260810,SPXW  260810C07785000,C,7785.0,-1,SELL,2.9,10:16:57,10:16:57,0.0,SPX
20260810,SPXW  260810C07785000,C,7785.0,-1,SELL,2.75,10:17:12,10:17:12,0.0,SPX
20260810,SPXW  260810C07800000,C,7800.0,1,BUY,0.8,10:03:43,10:03:43,0.0,SPX
20260810,SPXW  260810P07655000,P,7655.0,1,BUY,0.35,10:01:02,10:01:03,1.0,SPX
20260810,SPXW  260810P07655000,P,7655.0,1,BUY,0.3,10:02:11,10:02:12,1.0,SPX
