grade,n,avg_pnl,median_pnl,win_pct,total_pnl,rank
A,6,319.07,297.4,100.0,1914.4,6.0
B,40,58.77,159.9,60.0,2350.7,5.0
C,106,27.42,29.9,51.9,2906.7,3.0
D,50,17.4,12.4,94.0,870.0,1.0
F,2,-367.6,-367.6,0.0,-735.2,0.0
A/B,2,-345.2,-345.2,0.0,-690.4,
