n,date,time,bar,dir,type,lmt,kind,shortfall_pts,abr8,frontrun_pct_abr8
7,2026-06-05,15:05:00,79,S,BO,7458.5,short,15.5,16.56,93.6
12,2026-06-09,15:00:00,78,L,BO,7446.0,short,5.0,14.66,34.1
20,2026-06-11,12:30:00,48,L,Trap,7342.75,short,69.5,18.72,371.3
25,2026-06-16,09:00:00,6,S,IB,7630.0,short,4.75,6.81,69.7
28,2026-06-17,09:35:00,13,S,IB,7597.25,short,4.0,10.25,39.0
35,2026-06-22,14:55:00,77,L,BO,7535.5,short,3.5,5.88,59.6
37,2026-06-23,12:45:00,51,S,Trap,7470.25,short,1.25,6.78,18.4
40,2026-06-23,15:10:00,80,L,Trap,7437.0,no_pullback,,,
45,2026-06-25,09:55:00,17,L,Trap,7463.0,no_pullback,,,
52,2026-06-29,12:10:00,44,L,BO,7481.25,short,3.75,4.31,87.0
61,2026-07-02,13:10:00,56,L,IB,7489.25,short,2.5,9.78,25.6
70,2026-07-07,08:55:00,5,S,Trap,7573.25,short,2.0,8.31,24.1
73,2026-07-07,14:45:00,75,S,IB,7543.75,no_pullback,,,
74,2026-07-07,14:55:00,77,L,BO,7548.25,short,1.0,6.22,16.1
76,2026-07-09,09:30:00,12,L,Trap,7543.5,short,3.25,10.97,29.6
79,2026-07-09,14:55:00,77,S,IB,7586.5,no_pullback,,,
89,2026-07-16,12:40:00,50,S,IB,7589.25,short,1.25,6.5,19.2
91,2026-07-16,15:00:00,78,L,BO,7569.5,no_pullback,,,
92,2026-07-16,15:10:00,80,S,IB,7570.75,no_pullback,,,
96,2026-07-17,12:40:00,50,S,IB,7530.75,short,6.5,6.94,93.7
108,2026-07-23,12:50:00,52,L,Trap,7439.25,short,4.25,6.41,66.3
110,2026-07-23,15:00:00,78,L,BO,7430.75,short,18.25,8.84,206.4
113,2026-07-24,11:35:00,37,S,Trap,7491.0,short,9.25,6.31,146.5
116,2026-07-24,13:20:00,58,S,BO,7464.0,short,6.25,5.31,117.6
