target,n,win_pct,avg_R,tot_R,usd,Trap_totR,BO_totR,IB_totR
1R,93,53.8,0.074,6.87,3862,-1.2,4.65,3.42
1.5R,93,40.9,-0.018,-1.72,-2382,-6.7,4.85,0.13
2R,93,34.4,-0.05,-4.62,-1500,-10.72,6.97,-0.87
2.5R,93,30.1,-0.089,-8.25,-2925,-11.72,3.84,-0.37
3R,93,28.0,-0.123,-11.48,-6762,-13.14,3.87,-2.2
4R,93,25.8,-0.138,-12.79,-6224,-12.14,4.87,-5.51
5R,93,24.7,-0.191,-17.74,-8324,-14.06,5.87,-9.54
EOD,93,24.7,0.181,16.8,126,-11.24,12.59,15.46
