date,ft_bar,btc,ft_close,diff,lmt,ft_low,ft_high
2026-06-04,28,7638.25,7644.5,-6.25,7640.75,7643.25,7649.75
2026-06-05,12,7577.5,7583.75,-6.25,7582.25,7580.25,7589.25
2026-06-05,15,7581.0,7587.25,-6.25,7586.0,7583.75,7595.0
2026-06-05,37,7528.0,7534.25,-6.25,7532.75,7530.25,7540.0
2026-06-05,41,7531.25,7537.5,-6.25,7521.5,7524.5,7538.25
2026-06-05,72,7470.25,7476.5,-6.25,7454.75,7460.75,7477.25
2026-06-05,79,7439.5,7445.75,-6.25,7458.5,7441.5,7469.0
2026-06-08,25,7505.25,7511.5,-6.25,7515.0,7508.25,7524.0
2026-06-08,62,7493.25,7499.5,-6.25,7501.25,7498.5,7511.0
2026-06-09,18,7460.25,7466.5,-6.25,7448.75,7447.25,7467.0
2026-06-09,69,7436.0,7442.25,-6.25,7447.0,7440.75,7454.25
2026-06-09,78,7453.0,7459.5,-6.5,7446.0,7450.0,7463.0
2026-06-10,30,7401.5,7407.75,-6.25,7398.25,7388.75,7409.5
2026-06-10,40,7381.25,7387.5,-6.25,7385.75,7382.0,7396.5
2026-06-10,45,7371.75,7378.0,-6.25,7377.25,7375.0,7385.25
2026-06-10,61,7372.25,7378.5,-6.25,7375.75,7376.5,7384.0
2026-06-11,9,7359.5,7365.75,-6.25,7378.5,7364.75,7389.25
2026-06-11,26,7365.5,7371.75,-6.25,7359.0,7360.75,7376.5
2026-06-11,46,7337.5,7343.75,-6.25,7342.75,7341.0,7353.25
2026-06-11,48,7406.25,7412.5,-6.25,7342.75,7346.25,7414.0
2026-06-11,73,7477.25,7483.5,-6.25,7463.25,7466.25,7485.25
2026-06-15,6,7614.25,7617.5,-3.25,7617.25,7616.25,7625.0
2026-06-15,27,7636.0,7639.5,-3.5,7635.0,7636.25,7640.5
2026-06-15,59,7631.25,7634.25,-3.0,7632.5,7633.5,7636.25
2026-06-16,6,7622.75,7622.75,0.0,7630.0,7621.75,7632.5
2026-06-16,8,7632.75,7632.75,0.0,7629.5,7623.5,7632.75
2026-06-16,27,7606.75,7606.75,0.0,7608.0,7605.75,7611.75
2026-06-17,13,7590.25,7590.25,0.0,7597.25,7586.25,7599.75
2026-06-17,37,7586.0,7586.0,0.0,7590.0,7585.5,7591.25
2026-06-18,14,7562.5,7562.5,0.0,7555.5,7551.25,7563.5
2026-06-18,29,7557.75,7557.75,0.0,7551.0,7549.25,7561.75
2026-06-18,43,7569.75,7569.75,0.0,7564.25,7561.5,7570.0
2026-06-22,33,7546.25,7546.25,0.0,7539.75,7537.75,7546.5
2026-06-22,46,7546.75,7546.75,0.0,7542.25,7542.0,7547.0
2026-06-22,77,7543.75,7543.75,0.0,7535.5,7533.25,7545.25
2026-06-23,45,7469.0,7468.75,0.25,7465.5,7464.5,7473.0
2026-06-23,51,7467.25,7467.25,0.0,7470.25,7466.25,7472.5
2026-06-23,54,7453.25,7453.25,0.0,7455.5,7452.5,7457.5
2026-06-23,61,7447.0,7447.0,0.0,7448.75,7446.5,7451.0
2026-06-23,80,7439.75,7439.75,0.0,7437.0,7435.5,7442.25
2026-06-24,20,7481.0,7481.0,0.0,7488.0,7479.25,7490.75
2026-06-24,56,7426.0,7426.0,0.0,7425.25,7421.25,7429.5
2026-06-25,8,7444.75,7444.75,0.0,7430.25,7427.75,7445.75
2026-06-25,13,7460.5,7460.5,0.0,7455.75,7449.25,7467.75
2026-06-25,17,7474.5,7474.5,0.0,7463.0,7457.25,7475.75
2026-06-25,23,7441.5,7441.5,0.0,7435.0,7426.0,7444.75
2026-06-25,35,7440.5,7440.5,0.0,7450.25,7438.5,7453.75
2026-06-25,45,7427.25,7427.25,0.0,7423.5,7422.0,7432.5
2026-06-25,48,7427.75,7427.75,0.0,7426.25,7423.5,7431.75
2026-06-26,6,7401.5,7401.5,0.0,7388.75,7384.0,7405.75
2026-06-26,46,7438.0,7438.0,0.0,7442.75,7436.5,7445.25
2026-06-29,44,7483.75,7483.75,0.0,7481.25,7480.5,7484.5
2026-06-29,73,7494.0,7494.0,0.0,7497.75,7493.5,7498.5
2026-06-30,45,7553.75,7553.75,0.0,7556.0,7553.25,7557.0
2026-06-30,60,7555.25,7555.25,0.0,7556.0,7554.5,7556.5
2026-07-01,22,7568.75,7568.75,0.0,7564.5,7564.0,7570.5
2026-07-01,59,7559.0,7559.0,0.0,7557.25,7555.5,7559.5
2026-07-01,67,7557.75,7557.75,0.0,7554.0,7552.75,7558.0
2026-07-02,35,7514.5,7514.5,0.0,7519.5,7513.75,7521.0
2026-07-02,50,7487.0,7487.0,0.0,7493.5,7485.75,7495.5
2026-07-02,56,7504.25,7504.25,0.0,7489.25,7488.25,7504.5
2026-07-02,58,7496.25,7496.25,0.0,7501.0,7493.5,7503.5
2026-07-02,60,7506.5,7506.5,0.0,7502.75,7499.25,7506.75
2026-07-06,12,7578.75,7578.75,0.0,7577.75,7574.75,7579.0
2026-07-06,36,7585.5,7585.5,0.0,7587.5,7584.75,7588.5
2026-07-06,42,7583.75,7583.75,0.0,7585.25,7582.75,7586.5
2026-07-06,44,7593.0,7593.0,0.0,7589.0,7588.0,7594.75
2026-07-06,61,7590.0,7590.0,0.0,7591.5,7589.75,7594.0
2026-07-06,77,7591.25,7591.25,0.0,7597.25,7591.0,7598.5
2026-07-07,5,7567.25,7567.25,0.0,7573.25,7565.25,7577.25
2026-07-07,14,7536.0,7536.0,0.0,7540.25,7536.0,7543.0
2026-07-07,43,7569.25,7569.25,0.0,7567.5,7566.25,7569.25
2026-07-07,75,7542.75,7542.75,0.0,7543.75,7541.25,7545.25
2026-07-07,77,7554.75,7554.75,0.0,7548.25,7547.5,7555.0
2026-07-08,50,7528.0,7528.0,0.0,7531.25,7527.75,7532.75
2026-07-09,12,7552.75,7552.75,0.0,7543.5,7541.25,7555.75
2026-07-09,62,7586.0,7586.0,0.0,7587.25,7585.5,7588.25
2026-07-09,72,7585.0,7585.0,0.0,7585.75,7584.75,7586.75
2026-07-09,77,7582.75,7582.75,0.0,7586.5,7582.5,7586.75
2026-07-13,41,7565.75,7565.75,0.0,7571.0,7563.25,7572.0
2026-07-13,69,7564.25,7564.25,0.0,7566.5,7562.25,7566.75
2026-07-14,22,7590.0,7590.0,0.0,7594.25,7587.5,7597.5
2026-07-14,47,7595.0,7595.0,0.0,7592.25,7591.0,7596.75
2026-07-15,6,7614.5,7614.5,0.0,7610.75,7608.5,7616.75
2026-07-15,53,7615.0,7615.0,0.0,7611.0,7608.75,7616.25
2026-07-15,75,7611.25,7611.25,0.0,7609.0,7608.0,7612.75
2026-07-15,78,7616.75,7617.0,-0.25,7611.75,7611.5,7618.0
2026-07-16,17,7606.0,7606.0,0.0,7610.5,7604.5,7611.75
2026-07-16,50,7585.0,7585.0,0.0,7589.25,7584.0,7591.0
2026-07-16,72,7560.25,7560.25,0.0,7564.25,7558.0,7566.0
2026-07-16,78,7577.25,7577.0,0.25,7569.5,7568.75,7579.5
2026-07-16,80,7570.25,7570.25,0.0,7570.75,7569.5,7573.0
2026-07-17,5,7504.0,7504.0,0.0,7497.0,7495.5,7507.75
2026-07-17,33,7528.25,7528.25,0.0,7525.0,7522.5,7529.0
2026-07-17,39,7529.75,7529.75,0.0,7526.25,7521.25,7530.0
2026-07-17,50,7525.5,7525.5,0.0,7530.75,7524.5,7532.5
2026-07-20,32,7531.75,7531.75,0.0,7526.5,7525.25,7532.25
2026-07-20,51,7501.25,7501.25,0.0,7503.5,7499.25,7504.25
2026-07-20,53,7510.0,7510.0,0.0,7507.25,7505.75,7512.5
2026-07-21,63,7548.25,7548.25,0.0,7545.75,7543.25,7549.25
2026-07-22,9,7544.5,7544.5,0.0,7547.5,7543.25,7550.25
2026-07-22,74,7536.75,7536.75,0.0,7539.25,7536.25,7540.75
2026-07-23,20,7431.25,7431.25,0.0,7435.0,7429.25,7437.25
2026-07-23,26,7433.75,7433.75,0.0,7424.0,7423.75,7434.75
2026-07-23,29,7433.5,7433.5,0.0,7430.25,7426.0,7433.5
2026-07-23,40,7440.25,7440.25,0.0,7449.75,7440.25,7449.75
2026-07-23,49,7441.25,7441.25,0.0,7447.5,7440.5,7448.0
2026-07-23,52,7442.0,7442.0,0.0,7439.25,7435.5,7443.25
2026-07-23,54,7432.0,7432.0,0.0,7437.5,7431.75,7437.25
2026-07-23,78,7444.0,7444.0,0.0,7430.75,7429.25,7447.75
2026-07-24,13,7442.0,7442.0,0.0,7448.0,7442.0,7451.0
2026-07-24,20,7455.75,7455.75,0.0,7461.0,7455.5,7465.5
2026-07-24,37,7484.5,7484.5,0.0,7491.0,7482.5,7491.5
2026-07-24,44,7462.75,7462.75,0.0,7469.0,7462.5,7472.25
2026-07-24,46,7473.5,7473.5,0.0,7469.75,7465.5,7474.0
2026-07-24,58,7461.0,7461.0,0.0,7464.0,7460.25,7465.75
2026-07-24,68,7435.5,7435.5,0.0,7441.25,7434.75,7445.75
