date,type,dir,ft_bar,lmt,filled,bars_to_fill
2026-06-04,BO,S,28,7640.75,True,2
2026-06-05,BO,S,12,7582.25,True,9
2026-06-05,Trap,S,15,7586.0,True,2
2026-06-05,Trap,S,37,7532.75,True,2
2026-06-05,Trap,L,41,7521.5,True,16
2026-06-05,IB,L,72,7454.75,True,7
2026-06-05,BO,S,79,7458.5,False,
2026-06-08,BO,S,25,7515.0,True,15
2026-06-08,Trap,S,62,7501.25,True,2
2026-06-09,Trap,L,18,7448.75,True,5
2026-06-09,Trap,S,69,7447.0,True,8
2026-06-09,BO,L,78,7446.0,False,
2026-06-10,Trap,L,30,7398.25,True,2
2026-06-10,BO,S,40,7385.75,True,8
2026-06-10,BO,S,45,7377.25,True,2
2026-06-10,IB,S,61,7375.75,True,2
2026-06-11,IB,S,9,7378.5,True,2
2026-06-11,Trap,L,26,7359.0,True,3
2026-06-11,Trap,S,46,7342.75,True,2
2026-06-11,Trap,L,48,7342.75,False,
2026-06-11,BO,L,73,7463.25,True,4
2026-06-15,Trap,S,6,7617.25,True,2
2026-06-15,IB,L,27,7635.0,True,28
2026-06-15,Trap,S,59,7632.5,True,2
2026-06-16,IB,S,6,7630.0,False,
2026-06-16,IB,L,8,7629.5,True,2
2026-06-16,Trap,S,27,7608.0,True,2
2026-06-17,IB,S,13,7597.25,False,
2026-06-17,IB,S,37,7590.0,True,18
2026-06-18,Trap,L,14,7555.5,True,8
2026-06-18,Trap,L,29,7551.0,True,40
2026-06-18,Trap,L,43,7564.25,True,12
2026-06-22,IB,L,33,7539.75,True,4
2026-06-22,IB,L,46,7542.25,True,3
2026-06-22,BO,L,77,7535.5,False,
2026-06-23,Trap,L,45,7465.5,True,8
2026-06-23,Trap,S,51,7470.25,False,
2026-06-23,BO,S,54,7455.5,True,2
2026-06-23,IB,S,61,7448.75,True,7
2026-06-23,Trap,L,80,7437.0,False,
2026-06-24,Trap,S,20,7488.0,True,2
2026-06-24,IB,L,56,7425.25,True,8
2026-06-25,BO,L,8,7430.25,True,2
2026-06-25,IB,L,13,7455.75,True,5
2026-06-25,Trap,L,17,7463.0,False,
2026-06-25,Trap,L,23,7435.0,True,8
2026-06-25,Trap,S,35,7450.25,True,25
2026-06-25,Trap,L,45,7423.5,True,2
2026-06-25,Trap,L,48,7426.25,True,4
2026-06-26,IB,L,6,7388.75,True,72
2026-06-26,Trap,S,46,7442.75,True,2
2026-06-29,BO,L,44,7481.25,False,
2026-06-29,IB,S,73,7497.75,True,5
2026-06-30,IB,S,45,7556.0,True,2
2026-06-30,Trap,S,60,7556.0,True,3
2026-07-01,IB,L,22,7564.5,True,19
2026-07-01,Trap,L,59,7557.25,True,2
2026-07-01,IB,L,67,7554.0,True,5
2026-07-02,IB,S,35,7519.5,True,42
2026-07-02,Trap,S,50,7493.5,True,6
2026-07-02,IB,L,56,7489.25,False,
2026-07-02,Trap,S,58,7501.0,True,11
2026-07-02,IB,L,60,7502.75,True,7
2026-07-06,BO,L,12,7577.75,True,2
2026-07-06,Trap,S,36,7587.5,True,4
2026-07-06,Trap,S,42,7585.25,True,13
2026-07-06,BO,L,44,7589.0,True,18
2026-07-06,Trap,S,61,7591.5,True,2
2026-07-06,Trap,S,77,7597.25,True,4
2026-07-07,Trap,S,5,7573.25,False,
2026-07-07,Trap,S,14,7540.25,True,2
2026-07-07,Trap,L,43,7567.5,True,2
2026-07-07,IB,S,75,7543.75,False,
2026-07-07,BO,L,77,7548.25,False,
2026-07-08,Trap,S,50,7531.25,True,17
2026-07-09,Trap,L,12,7543.5,False,
2026-07-09,Trap,S,62,7587.25,True,2
2026-07-09,Trap,S,72,7585.75,True,2
2026-07-09,IB,S,77,7586.5,False,
2026-07-13,Trap,S,41,7571.0,True,15
2026-07-13,Trap,S,69,7566.5,True,9
2026-07-14,IB,S,22,7594.25,True,2
2026-07-14,Trap,L,47,7592.25,True,15
2026-07-15,Trap,L,6,7610.75,True,5
2026-07-15,BO,L,53,7611.0,True,10
2026-07-15,IB,L,75,7609.0,True,5
2026-07-15,IB,L,78,7611.75,True,2
2026-07-16,Trap,S,17,7610.5,True,2
2026-07-16,IB,S,50,7589.25,False,
2026-07-16,Trap,S,72,7564.25,True,5
2026-07-16,BO,L,78,7569.5,False,
2026-07-16,IB,S,80,7570.75,False,
2026-07-17,BO,L,5,7497.0,True,58
2026-07-17,Trap,L,33,7525.0,True,2
2026-07-17,IB,L,39,7526.25,True,8
2026-07-17,IB,S,50,7530.75,False,
2026-07-20,Trap,L,32,7526.5,True,4
2026-07-20,Trap,S,51,7503.5,True,11
2026-07-20,BO,L,53,7507.25,True,6
2026-07-21,IB,L,63,7545.75,True,15
2026-07-22,Trap,S,9,7547.5,True,11
2026-07-22,IB,S,74,7539.25,True,5
2026-07-23,BO,S,20,7435.0,True,3
2026-07-23,Trap,L,26,7424.0,True,2
2026-07-23,Trap,L,29,7430.25,True,26
2026-07-23,IB,S,40,7449.75,True,7
2026-07-23,Trap,S,49,7447.5,True,29
2026-07-23,Trap,L,52,7439.25,False,
2026-07-23,IB,S,54,7437.5,True,17
2026-07-23,BO,L,78,7430.75,False,
2026-07-24,IB,S,13,7448.0,True,4
2026-07-24,Trap,S,20,7461.0,True,2
2026-07-24,Trap,S,37,7491.0,False,
2026-07-24,IB,S,44,7469.0,True,2
2026-07-24,Trap,L,46,7469.75,True,6
2026-07-24,BO,S,58,7464.0,False,
2026-07-24,Trap,S,68,7441.25,True,5
