target,trades,win_pct,avg_R,tot_R,usd_ES,stop_pct,tgt_pct,opp_pct,eod_pct
1R,75,46.7,-0.128,-9.62,-2913.0,44.0,44.0,8.0,4.0
1.5R,70,41.4,-0.1,-6.98,-3369.0,48.6,32.9,12.9,5.7
2R,69,33.3,-0.188,-12.99,-3963.0,55.1,23.2,15.9,5.8
2.5R,68,30.9,-0.266,-18.12,-4900.0,57.4,14.7,19.1,8.8
3R,68,29.4,-0.335,-22.78,-8837.0,58.8,8.8,22.1,10.3
4R,68,26.5,-0.381,-25.88,-9712.0,60.3,5.9,23.5,10.3
5R,68,26.5,-0.345,-23.46,-9162.0,60.3,4.4,23.5,11.8
EOD,67,26.9,0.048,3.19,-5137.0,59.7,0.0,25.4,14.9
