strat,cut,n,win,mean,total,sharpe,pf
ic,unfilt,793,92.4,13.2,10463.0,0.41,1.11
ic,gap<=0.2,522,93.3,43.1,22479.0,1.47,1.45
bps,unfilt,835,95.6,6.9,5767.0,0.25,1.09
bps,gap<=0.2,549,96.2,33.4,18353.0,1.42,1.54
bcs,unfilt,781,96.7,11.8,9246.0,0.71,1.32
bcs,gap<=0.2,519,97.3,15.4,7974.0,0.94,1.46
ifly,unfilt,839,38.1,-39.1,-32822.0,-0.75,0.9
ifly,gap<=0.2,553,40.9,0.8,440.0,0.01,1.0
