K,sharpe,maxdd,worst,mean,cost_day,days_paid
none,1.47,8671,-2445,43.1,,
2.0,0.19,12177,-6392,8.3,83.0,4.0
2.5,0.26,11656,-6392,11.1,74.0,3.0
3.0,0.23,11656,-6392,9.9,70.0,2.0
