filter,n,mean_pct,hit_pct,sharpe,ann_pct
all days,9214,-0.1299,25.0,-2.56,-32.7
|gap|>0.15%,2152,-0.3028,40.1,-3.99,-76.3
|gap|>0.3%,1161,-0.3583,37.7,-4.07,-90.3
|gap|>0.5%,559,-0.4277,36.3,-4.64,-107.8
down-gaps only,950,-0.3189,43.9,-3.89,-80.4
up-gaps only,1202,-0.2901,37.2,-4.11,-73.1
